"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe"
"W04C9.2",-0.445505295566941,0.292040574620976,-0.386162891735412,0.351382978452505,0.737545870187917,0.172000672147773,0.377399512291522,0.913411702172959,0.382888529295108,0.392391124299919
"W04C9.1",-0.612276362727755,-0.20986915059698,-0.359303857877676,0.0431033542530985,0.402407212130775,0.0150508849015058,0.477748196815171,0.857184579491044,0.924041228857343,0.61683705543929
"Y65B4BL.3",0.211018092876593,-0.20085901204215,0.268524432230082,-0.143352672688661,-0.411877104918743,0.746817336494936,0.720264532121793,0.999661050265277,0.84658511836651,0.790407219250571
"Y65B4BL.4",0.225504571313811,-1.01235169278965,0.571321812365356,-0.666534451738107,-1.23785626410346,0.781958637268768,0.0653682229379911,0.999661050265277,0.367544861635455,0.431894370747081
"Y65B4BL.2",-0.413363371169356,-0.205184035012988,0.107268859125606,0.315448195281974,0.208179336156368,0.400097474820065,0.676375574989208,0.999661050265277,0.581194471313772,0.893783265491099
"Y65B4BL.7",0.160335268339269,0.910562398632706,-0.0833658875201042,0.666861242773334,0.750227130293438,0.785073499519233,0.0144802210713122,0.999661050265277,0.178318100209207,0.513485572713418
"Y65B4BL.6",0.0264191958315077,0.78259962456869,0.629495901651656,1.38567633038884,0.756180428737182,0.982106869995936,0.263252335099448,0.999661050265277,0.0892864685131035,0.734138097340736
"Y65B4BL.1",0.25963719653112,0.0478501274188871,-0.383230749699614,-0.595017818811847,-0.211787069112233,0.727324968654367,0.946843361694197,0.999661050265277,0.381892807568178,0.916728407515672
"Y65B4BM.3",0.249820079829766,0.123248695651119,-0.379214446055052,-0.505785830233699,-0.126571384178647,0.734803541596783,0.851347296558185,0.999661050265277,0.459611347308263,0.953220703768033
"Y65B4BR.8",-0.0433909299935475,0.595687234390105,-0.0809132004691994,0.558164963914453,0.639078164383653,0.9544655295919,0.175971982863095,0.999661050265277,0.322389020008494,0.628012619500107
"Y65B4BR.5",0.289858810263447,1.19998310286788,0.111587721711749,1.02171201431618,0.910124292604436,0.543354522410785,0.000303958866298268,0.999661050265277,0.0183286065536549,0.384444524959954
"Y65B4BR.4",0.384941492908299,0.157522484788009,0.0994114888310799,-0.12800751928921,-0.22741900812029,0.245237511826225,0.653647475298063,0.999661050265277,0.779356541868544,0.83126377041184
"Y65B4BR.3",-0.377395083312673,-0.505088659382282,-0.22345367859859,-0.351147254668198,-0.127693576069608,0.36783497396899,0.162318895845954,0.999661050265277,0.464507123687468,0.929825852206969
"Y65B4BR.1",-2.74946284226533,-1.93291454207033,-1.31754790169413,-0.500999601499135,0.816548300194998,2.33581513719558e-05,0.0067935219195209,0.496018438495568,0.647560585741891,0.747065557457131
"Y65B4BR.9",0.526096176133766,1.44908245667717,0.0363882575948502,0.959374538138255,0.922986280543404,0.6325712822046,0.0730631119440133,0.999661050265277,NA,0.735658713475433
"F56A6.5",-0.306932343218228,-2.46614121217964,-1.04273693028973,-3.20194579925114,-2.15920886896141,NA,NA,NA,NA,NA
"F56A6.1",-0.888678689024627,-1.6860673456537,0.43199550650265,-0.365393150126424,-0.797388656629074,0.349560340402179,0.0348309974606818,0.999661050265277,NA,0.768787560208972
"Y65B4A.6",-0.275209821437981,0.22689035898812,-0.0343185810974762,0.467781599328625,0.502100180426101,0.236661995891501,0.310485887410493,0.999661050265277,0.0677114011518474,0.395217551928796
"Y65B4A.3",0.142036729911619,0.273316927732456,-0.125919321196942,0.00536087662389522,0.131280197820837,0.643863529587604,0.249760467068869,0.999661050265277,0.989777148463199,0.876960577124327
"Y65B4A.2",0.447987848310356,0.390401559805457,0.137384779361608,0.0797984908567102,-0.057586288504898,0.0586204488575203,0.100147076085109,0.999661050265277,0.83397149583292,0.955009000374214
"Y65B4A.1",-0.206558412120215,-0.301287760578036,0.0866226173759642,-0.00810673108185738,-0.0947293484578215,0.611566399984528,0.365322036511142,0.999661050265277,0.988956111733703,0.938538506685552
